// Opcode Table Data File
// Generated: 22/05/2008 04:32:31
// DST 2008
DA,1111111111111111,000,InvalidCode,Invalid,0xF000,0xF000
//,0000000000xxxxxx,001,ori_b,ori.b,0xE100,0x003F
AB,0000000000000xxx,001,ori_b,ori.b,0xE100,0x2007
AB,0000000000010xxx,001,ori_b,ori.b,0xE100,0x4007
AB,0000000000011xxx,001,ori_b,ori.b,0xE100,0x6007
AB,0000000000100xxx,001,ori_b,ori.b,0xE100,0x7007
AB,0000000000101xxx,001,ori_b,ori.b,0xE100,0x5007
AB,0000000000110xxx,001,ori_b,ori.b,0xE100,0x5017
AC,0000000000111000,001,ori_b,ori.b,0xE100,0xB000
AC,0000000000111001,001,ori_b,ori.b,0xE100,0xB001
DA,0000000000111100,002,ori_to_ccr,ori,0xE100,0xF004
//,0000000001xxxxxx,003,ori_w,ori.w,0xE200,0x003F
AB,0000000001000xxx,003,ori_w,ori.w,0xE200,0x2007
AB,0000000001010xxx,003,ori_w,ori.w,0xE200,0x4007
AB,0000000001011xxx,003,ori_w,ori.w,0xE200,0x6007
AB,0000000001100xxx,003,ori_w,ori.w,0xE200,0x7007
AB,0000000001101xxx,003,ori_w,ori.w,0xE200,0x5007
AB,0000000001110xxx,003,ori_w,ori.w,0xE200,0x5017
AC,0000000001111000,003,ori_w,ori.w,0xE200,0xB000
AC,0000000001111001,003,ori_w,ori.w,0xE200,0xB001
DA,0000000001111100,004,ori_to_sr,ori,0xE200,0xF005
//,0000000010xxxxxx,005,ori_l,ori.l,0xE300,0x003F
AB,0000000010000xxx,005,ori_l,ori.l,0xE300,0x2007
AB,0000000010010xxx,005,ori_l,ori.l,0xE300,0x4007
AB,0000000010011xxx,005,ori_l,ori.l,0xE300,0x6007
AB,0000000010100xxx,005,ori_l,ori.l,0xE300,0x7007
AB,0000000010101xxx,005,ori_l,ori.l,0xE300,0x5007
AB,0000000010110xxx,005,ori_l,ori.l,0xE300,0x5017
AC,0000000010111000,005,ori_l,ori.l,0xE300,0xB000
AC,0000000010111001,005,ori_l,ori.l,0xE300,0xB001
//,0000xxx100xxxxxx,006,btst_d,btst,0x2E00,0x003F
AB,0000xxx100000xxx,006,btst_d,btst,0x2E00,0x2007
AB,0000xxx100010xxx,006,btst_d,btst,0x2E00,0x4007
AB,0000xxx100011xxx,006,btst_d,btst,0x2E00,0x6007
AB,0000xxx100100xxx,006,btst_d,btst,0x2E00,0x7007
